[0,                                                params  mean_test_score  rank_test_score
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.546112                9
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.542940               17
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.547568                5
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.536793               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.539421               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.542053               21
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.545371               13
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.550890                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.546112                9
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.542940               17
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.547568                5
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.536793               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.539421               25, 39,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.547177               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.549576                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.566124                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.565214                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.529908               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.536363               25
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.545206               17
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.543981               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.547177               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.549576                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.566124                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.565214                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.529908               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.536363               25
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.545206               17
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.543981               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.547177               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.549576                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.566124                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.565214                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.529908               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.536363               25
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.545206               17
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.543981               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.547177               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.549576                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.566124                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.565214                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.529908               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.536363               25
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.545206               17
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.543981               21, 40,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.568698                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.561383                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.565753                5
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.560043               13
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.540628               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.550749               21
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.526002               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.554347               17
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.568698                1
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.561383                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.565753                5
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.560043               13
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.540628               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.550749               21
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.526002               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.554347               17
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.568698                1
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.561383                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.565753                5
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.560043               13
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.540628               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.550749               21
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.526002               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.554347               17
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.568698                1
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.561383                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.565753                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.560043               13
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.540628               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.550749               21
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.526002               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.554347               17, 41,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.535206               21
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.534205               25
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.545284                9
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.539057               17
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.533596               29
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.541899               13
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.551495                1
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.546717                5
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.535206               21
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.534205               25
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.545284                9
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.539057               17
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.533596               29
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.541899               13
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.551495                1
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.546717                5
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.535206               21
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.534205               25
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.545284                9
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.539057               17
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.533596               29
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.541899               13
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.551495                1
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.546717                5
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.535206               21
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.534205               25
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.545284                9
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.539057               17
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.533596               29
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.541899               13
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.551495                1
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.546717                5, 42,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.546212               13
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.545403               17
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.559039                1
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.554123                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.538042               25
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.549237                9
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.531518               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.538560               21
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.546212               13
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.545403               17
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.559039                1
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.554123                5
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.538042               25
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.549237                9
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.531518               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.538560               21
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.546212               13
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.545403               17
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.559039                1
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.554123                5
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.538042               25
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.549237                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.531518               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.538560               21
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.546212               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.545403               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.559039                1
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.554123                5
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.538042               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.549237                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.531518               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.538560               21, 43,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.547109                1
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.545558                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.541304               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.546347                5
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.535677               29
