[0,                                                params  mean_test_score  rank_test_score
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.536417                9
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.534290               21
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.525608               29
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.536140               13
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.535360               17
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.550605                5
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.552410                1
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.528653               25
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.536417                9
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.534290               21
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.525608               29, 9,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.554494               17
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.555586                9
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.555176               13
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.552836               21
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.564606                5
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.571713                1
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.536581               29
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.548549               25
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.554494               17
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.555586                9
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.555176               13
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.552836               21
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.564606                5
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.571713                1
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.536581               29
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.548549               25
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.554494               17
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.555586                9
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.555176               13
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.552836               21
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.564606                5
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.571713                1
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.536581               29
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.548549               25
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.554494               17
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.555586                9
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.555176               13
27  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.552836               21
28  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.564606                5
29  {'algorithm': 'brute', 'n_neighbors': 30, 'wei...         0.571713                1
30  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.536581               29
31  {'algorithm': 'brute', 'n_neighbors': 100, 'we...         0.548549               25, 10,                                                params  mean_test_score  rank_test_score
0   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.546052               21
1   {'algorithm': 'auto', 'n_neighbors': 5, 'weigh...         0.542678               29
2   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.564060                9
3   {'algorithm': 'auto', 'n_neighbors': 15, 'weig...         0.568752                1
4   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.559633               17
5   {'algorithm': 'auto', 'n_neighbors': 30, 'weig...         0.565790                5
6   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.542973               25
7   {'algorithm': 'auto', 'n_neighbors': 100, 'wei...         0.563614               13
8   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.546052               21
9   {'algorithm': 'ball_tree', 'n_neighbors': 5, '...         0.542678               29
10  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.564060                9
11  {'algorithm': 'ball_tree', 'n_neighbors': 15, ...         0.568752                1
12  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.559633               17
13  {'algorithm': 'ball_tree', 'n_neighbors': 30, ...         0.565790                5
14  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.542973               25
15  {'algorithm': 'ball_tree', 'n_neighbors': 100,...         0.563614               13
16  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.546052               21
17  {'algorithm': 'kd_tree', 'n_neighbors': 5, 'we...         0.542678               29
18  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.564060                9
19  {'algorithm': 'kd_tree', 'n_neighbors': 15, 'w...         0.568752                1
20  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.559633               17
21  {'algorithm': 'kd_tree', 'n_neighbors': 30, 'w...         0.565790                5
22  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.542973               25
23  {'algorithm': 'kd_tree', 'n_neighbors': 100, '...         0.563614               13
24  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.546052               21
25  {'algorithm': 'brute', 'n_neighbors': 5, 'weig...         0.542678               29
26  {'algorithm': 'brute', 'n_neighbors': 15, 'wei...         0.564060                9
